LAT;LONG;TYPE;NAME
-92.21928;34.78481;AR Cracker Barrel;North Little Rock-3101 Springhille Dr N.  I-40 Exit #156 ,Bus and RV Parking,(501) 945-9373
-93.1333;35.303336;AR Cracker Barrel;Russellville-211 East Harrell Dr  I-40 Exit #81 ,Bus and RV Parking,(479) 968-5983
-94.184609;36.177768;AR Cracker Barrel;Springdale-1022 South 48th St ,Bus and RV Parking,(479) 872-2040
-90.180326;35.165761;AR Cracker Barrel;W. Memphis-1600 N 6th St  I-40 Exit #278 ,Bus and RV Parking,(870) 733-0469
-92.394867;34.729688;AR Cracker Barrel;West Little Rock-2618 S Shackleford Road  I-430 Exit #5 ,Bus and RV Parking,(501) 225-7100
-112.5571;33.44141;AZ Cracker Barrel;Buckeye-606 S Watson Rd  I-10 Exit #117 ,(623) 474-0008
-111.688751;32.879611;AZ Cracker Barrel;Casa Grande-2281 East Florence Blvd.  I-10 Exit #194 ,Bus and RV Parking,(520) 421-2101
-111.617417;35.196167;AZ Cracker Barrel;Flagstaff-2560 E. Lucky Ln  I-40 Exit #198 ,Bus and RV Parking,(928) 773-1524
-112.260261;33.537382;AZ Cracker Barrel;Glendale-9312 W. Glendale Ave ,(623) 772-1930
-112.357478;33.459605;AZ Cracker Barrel;Goodyear-1209 North Litchfield Road  I-10 Exit #128 ,Bus and RV Parking,(623) 856-5161
-114.035657;35.225603;AZ Cracker Barrel;Kingman-3520 Stockton Hill Rd.  I-40 Exit #51 ,Bus and RV Parking,(928) 757-9000
-111.872679;33.432718;AZ Cracker Barrel;Mesa-1007 N. Dobson Road ,(480) 668-4780
-112.241986;33.63684;AZ Cracker Barrel;Peoria-16845 North 84th Ave ,Bus and RV Parking,(623) 875-1136
-112.114293;33.681684;AZ Cracker Barrel;Phoenix-21611 N. 26th Ave  I-17 Exit #215B ,Bus and RV Parking,(623) 582-6020
-111.975603;33.305371;AZ Cracker Barrel;Phoenix-5022 E. Chandler Blvd  I-10 Exit #160 ,Bus and RV Parking,(480) 961-9443
-112.367133;34.574224;AZ Cracker Barrel;Prescott Valley 5707 E. State Route  69 ,(928) 772-0447
-111.092782;32.359248;AZ Cracker Barrel;Tucson-8400 N. Cracker Barrel Dr  I-10 Exit #246 ,Bus and RV Parking,(520) 579-1845
-114.603963;32.695329;AZ Cracker Barrel;Yuma-1780 S. Sunridge Dr  I-8 Exit #2 ,Bus and RV Parking,(928) 343-1988
-104.80323;38.951283;CO Cracker Barrel;Colorado Springs-8355 Razorback Dr  I-25 Exit #150 ,Bus and RV Parking,(719) 260-7721
-104.993993;40.410362;CO Cracker Barrel;Loveland-5800 McWhinney Blvd  I-25 Exit #257 ,Bus and RV Parking,(970) 593-9947
-104.991698;39.913032;CO Cracker Barrel;Northglenn-350 West 120th Ave  I-25 Exit #223 ,Bus and RV Parking,(303) 280-9634
-104.617063;38.322161;CO Cracker Barrel;Pueblo-4735 Elizabeth St North  I-25 Exit #102 ,Bus and RV Parking,(719) 595-0711
-72.604787;41.932376;CT Cracker Barrel;East Windsor-145 Prospect Hill Rd  I-91 Exit #45 ,Bus and RV Parking,(860) 623-8824
-73.019221;41.237756;CT Cracker Barrel;Milford-30 Research Dr  I-95 Exit #40 ,Bus and RV Parking,(203) 877-7595
-75.1352;38.7325;DE Cracker Barrel;Rehoboth Beach-4357 SR 1 ,Bus and RV Parking,(302) 226-8993
-81.389543;28.66583;FL Cracker Barrel;Altamonte Springs-285 Douglas Ave  I-4 Exit #48 ,Bus and RV Parking,(407) 682-1095
-82.153606;29.024992;FL Cracker Barrel;Belleview-13561 SW 17th Ct  I-75 Exit #341 ,Bus and RV Parking,(352) 307-7222
